experiment,strain,pre,amp,cipro,dilution,amp survival,cipro survival
RM,CFT,4533333.333,10,800,100,0.000220588,0.017647059
RM,CFT,4533333.333,10,600,100,0.000220588,0.013235294
RM,CFT,4533333.333,18,1400,100,0.000397059,0.030882353
20230926_petri,MG,10000000,6,,50,0.00003,
20230926_petri,CFT,1800000,100,,50,0.002777778,
20230928,CFT,5400000,20,1230,50,0.000185185,0.011388889
20230928,CFT,10300000,26,600,50,0.000126214,0.002912621
20230928,CFT,5000000,8,670,50,0.00008,0.0067
20230928,MG,2800000,1.2,5.2,50,2.14E-05,9.29E-05
20230928,MG,2600000,2,3.4,50,3.85E-05,6.54E-05
20230928,MG,3000000,2.2,8,50,3.67E-05,0.000133333
