name	LFQ intensity 35_exp_1	LFQ intensity 35_exp_2	LFQ intensity 35_exp_3	LFQ intensity 35_O_N_1	LFQ intensity 35_O_N_2	LFQ intensity 35_O_N_3	LFQ intensity 40_lag_1	LFQ intensity 40_lag_2	LFQ intensity 40_lag_3	LFQ intensity 40_O_N_1	LFQ intensity 40_O_N_2	LFQ intensity 40_O_N_3
insH11	410000000.0	410000000.0	388000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gnd	5620000000.0	5410000000.0	5510000000.0	6750000000.0	6800000000.0	6660000000.0	7230000000.0	7460000000.0	7290000000.0	7350000000.0	6410000000.0	6720000000.0
frdA	161000000.0	171000000.0	182000000.0	434000000.0	469000000.0	506000000.0	436000000.0	741000000.0	442000000.0	403000000.0	720000000.0	485000000.0
gdhA	305000000.0	309000000.0	313000000.0	617000000.0	668000000.0	615000000.0	461000000.0	528000000.0	516000000.0	496000000.0	518000000.0	510000000.0
ndh	3530000000.0	3210000000.0	3430000000.0	809000000.0	929000000.0	884000000.0	1010000000.0	804000000.0	910000000.0	716000000.0	879000000.0	1020000000.0
sodA	3390000000.0	3760000000.0	4160000000.0	5110000000.0	5090000000.0	5390000000.0	4610000000.0	5130000000.0	5740000000.0	6740000000.0	4840000000.0	4240000000.0
nrdA	1050000000.0	1000000000.0	1020000000.0	324000000.0	356000000.0	346000000.0	366000000.0	324000000.0	361000000.0	294000000.0	360000000.0	439000000.0
malP	380000000.0	385000000.0	318000000.0	918000000.0	957000000.0	901000000.0	919000000.0	1050000000.0	1040000000.0	869000000.0	1030000000.0	1070000000.0
aspC	556000000.0	548000000.0	525000000.0	660000000.0	764000000.0	812000000.0	1130000000.0	885000000.0	1060000000.0	891000000.0	843000000.0	1000000000.0
thrB	299000000.0	304000000.0	314000000.0	582000000.0	610000000.0	588000000.0	569000000.0	584000000.0	541000000.0	563000000.0	588000000.0	526000000.0
mtlA	184000000.0	181000000.0	191000000.0	255000000.0	278000000.0	314000000.0	335000000.0	265000000.0	262000000.0	290000000.0	262000000.0	333000000.0
thrA	1240000000.0	1190000000.0	1160000000.0	1630000000.0	1960000000.0	2110000000.0	2560000000.0	1930000000.0	1970000000.0	1650000000.0	2020000000.0	2400000000.0
metL	356000000.0	394000000.0	384000000.0	387000000.0	482000000.0	518000000.0	710000000.0	501000000.0	617000000.0	466000000.0	561000000.0	732000000.0
rpoD	880000000.0	834000000.0	890000000.0	595000000.0	667000000.0	591000000.0	307000000.0	305000000.0	361000000.0	335000000.0	360000000.0	463000000.0
polA	1720000000.0	1700000000.0	1730000000.0	1570000000.0	1690000000.0	1780000000.0	2020000000.0	1980000000.0	2140000000.0	1900000000.0	1850000000.0	2000000000.0
lepB	211000000.0	265000000.0	220000000.0	198000000.0	203000000.0	176000000.0	161000000.0	168000000.0	162000000.0	155000000.0	162000000.0	173000000.0
ansB	0.0	0.0	0.0	90000000.0	78200000.0	73400000.0	0.0	138000000.0	0.0	85200000.0	188000000.0	54900000.0
ampC	219000000.0	161000000.0	120000000.0	102000000.0	79900000.0	58700000.0	42900000.0	73300000.0	61300000.0	78400000.0	78500000.0	52600000.0
lysA	884000000.0	930000000.0	1040000000.0	448000000.0	484000000.0	555000000.0	639000000.0	684000000.0	727000000.0	610000000.0	630000000.0	694000000.0
ppc	2360000000.0	2290000000.0	2280000000.0	2830000000.0	3610000000.0	3860000000.0	4640000000.0	3790000000.0	4140000000.0	3110000000.0	4080000000.0	4760000000.0
aroH	277000000.0	230000000.0	283000000.0	140000000.0	170000000.0	158000000.0	180000000.0	154000000.0	168000000.0	166000000.0	161000000.0	176000000.0
aroF	0.0	0.0	0.0	176000000.0	150000000.0	0.0	0.0	0.0	0.0	208000000.0	0.0	166000000.0
ilvI	146000000.0	204000000.0	0.0	232000000.0	254000000.0	253000000.0	327000000.0	310000000.0	322000000.0	281000000.0	295000000.0	316000000.0
ilvH	172000000.0	217000000.0	213000000.0	786000000.0	966000000.0	801000000.0	700000000.0	1090000000.0	864000000.0	705000000.0	867000000.0	680000000.0
trpE	518000000.0	626000000.0	483000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156000000.0
