"name"	"ID"	"X161_O_N_vs_X35_exp_p.val"	"X161_O_N_vs_X35_O_N_p.val"	"X161_O_N_vs_X40_lag_p.val"	"X161_O_N_vs_X40_O_N_p.val"	"X35_exp_vs_X35_O_N_p.val"	"X35_exp_vs_X40_lag_p.val"	"X35_exp_vs_X40_O_N_p.val"	"X35_O_N_vs_X40_lag_p.val"	"X35_O_N_vs_X40_O_N_p.val"	"X40_lag_vs_X40_O_N_p.val"	"X161_O_N_vs_X35_exp_p.adj"	"X161_O_N_vs_X35_O_N_p.adj"	"X161_O_N_vs_X40_lag_p.adj"	"X161_O_N_vs_X40_O_N_p.adj"	"X35_exp_vs_X35_O_N_p.adj"	"X35_exp_vs_X40_lag_p.adj"	"X35_exp_vs_X40_O_N_p.adj"	"X35_O_N_vs_X40_lag_p.adj"	"X35_O_N_vs_X40_O_N_p.adj"	"X40_lag_vs_X40_O_N_p.adj"	"X161_O_N_vs_X35_exp_significant"	"X161_O_N_vs_X35_O_N_significant"	"X161_O_N_vs_X40_lag_significant"	"X161_O_N_vs_X40_O_N_significant"	"X35_exp_vs_X35_O_N_significant"	"X35_exp_vs_X40_lag_significant"	"X35_exp_vs_X40_O_N_significant"	"X35_O_N_vs_X40_lag_significant"	"X35_O_N_vs_X40_O_N_significant"	"X40_lag_vs_X40_O_N_significant"	"significant"	"X161_O_N_vs_X35_exp_ratio"	"X161_O_N_vs_X35_O_N_ratio"	"X161_O_N_vs_X40_lag_ratio"	"X161_O_N_vs_X40_O_N_ratio"	"X35_exp_vs_X35_O_N_ratio"	"X35_exp_vs_X40_lag_ratio"	"X35_exp_vs_X40_O_N_ratio"	"X35_O_N_vs_X40_lag_ratio"	"X35_O_N_vs_X40_O_N_ratio"	"X40_lag_vs_X40_O_N_ratio"	"X161_O_N_centered"	"X35_exp_centered"	"X35_O_N_centered"	"X40_lag_centered"	"X40_O_N_centered"
"1"	"accC"	"P24182"	1.66898280349168e-08	0.884144145086352	0.00487869933081927	0.0906351858522486	1.86081808851035e-08	2.95920059606264e-07	6.98289609841039e-08	0.00634824883365861	0.11615406685412	0.126002837007673	0.00902	0.875	0.429	0.669	0.013	0.0868	0.0415	0.324	0.682	0.702	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	-1.14	-0.0117	-0.276	-0.146	1.13	0.862	0.993	-0.265	-0.134	0.13	-0.315	0.824	-0.303	-0.0381	-0.169
"2"	"aceA"	"P0A9G6"	2.24850206849785e-05	0.000663323437566423	1.80813717136004e-05	6.25590707746088e-05	1.51153552530822e-07	2.04631140943385e-08	4.13817446328117e-08	0.0302034314209254	0.146544011740541	0.37501387919547	0.343	0.0975	0.00621	0.00505	0.0516	0.0166	0.0291	0.594	0.719	0.879	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	0.808	-0.54	-0.827	-0.721	-1.35	-1.64	-1.53	-0.287	-0.18	0.107	-0.256	-1.06	0.284	0.571	0.465
"3"	"aceE"	"P0AFG8"	7.85666041519815e-11	0.0805577504144924	0.0292251138925909	0.238936806547205	3.39451450508312e-11	2.5983801395366e-10	1.40124388195527e-10	0.00101127976762099	0.0089229071109039	0.233715856348726	2.15e-06	0.694	0.663	0.768	8.06e-07	9.41e-05	3.26e-05	0.0983	0.188	0.819	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	-1.36	0.109	-0.143	-0.0709	1.47	1.22	1.29	-0.252	-0.18	0.0717	-0.293	1.07	-0.402	-0.15	-0.222
"4"	"ackA"	"P0A6A3"	6.3866996103465e-08	0.99065853983779	0.646814443955702	0.982555035178489	6.3247004226377e-08	9.43512189071102e-08	6.27143901515619e-08	0.638552692245093	0.991895311233968	0.631426010746453	0.0252	0.882	0.883	0.872	0.0318	0.047	0.0387	0.891	0.909	0.923	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	-1.26	0.00119	-0.0468	0.00222	1.27	1.22	1.27	-0.048	0.00103	0.0491	-0.261	1	-0.263	-0.215	-0.264
"5"	"acnA"	"P25516"	1.77324954484779e-12	0.156774242599441	2.99829204759515e-05	2.8972235072378e-05	2.92647279139941e-12	2.02616158796181e-11	2.04722723491279e-11	0.000265057071442419	0.000254758541595218	0.979902777127181	2.7e-12	0.757	0.011	0.00177	3.11e-10	3.13e-07	3.41e-07	0.0327	0.00303	0.947	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	2.84	0.128	0.57	0.573	-2.72	-2.27	-2.27	0.443	0.445	0.00217	0.823	-2.02	0.695	0.253	0.25
"6"	"acnB"	"P36683"	0.000747737379545508	1.23345211742541e-05	0.162304924619103	0.0214448682465031	0.0154423301823901	0.00982672042358203	1.55422113645098e-05	9.19691910614934e-05	6.31454287418628e-07	0.00154359047618853	0.579	0.00136	0.808	0.471	0.701	0.713	0.364	0.00979	2.03e-11	0.00921	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-0.292	-0.473	-0.0948	0.169	-0.181	0.197	0.461	0.378	0.642	0.264	-0.138	0.154	0.335	-0.0433	-0.308
"7"	"acpP"	"P0A6A8"	0.00318892892995379	0.0717419842137953	0.0154556611191302	0.0643368361359004	0.000128965547083602	0.391825737611053	0.117636894340638	0.000506622778390616	0.00192063158132289	0.437137526869534	0.647	0.682	0.589	0.628	0.48	0.808	0.779	0.0573	0.0488	0.894	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-1	0.532	-0.765	-0.549	1.54	0.238	0.454	-1.3	-1.08	0.216	-0.357	0.646	-0.889	0.408	0.192
"8"	"acs"	"P27550"	0.000226717363815725	1.01848016191599e-07	1.83262714336576e-05	5.56620312781393e-06	2.18616125262868e-09	7.39849201591703e-08	3.41219042007319e-08	0.000410322753362278	0.00202369132242024	0.353052288355453	0.51	5.7e-09	0.00631	0.000102	0.00151	0.0408	0.0254	0.0474	0.0518	0.872	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	0.865	-1.96	-1.15	-1.31	-2.82	-2.02	-2.17	0.803	0.647	-0.156	-0.711	-1.58	1.25	0.443	0.599
"9"	"acuI"	"P26646"	9.16665520463017e-12	0.00347410060325345	0.0127605196931137	0.0107784739422981	4.01758695786296e-11	2.94908383635371e-11	3.06715393875198e-11	0.477720439981178	0.5349340902979	0.92645183147496	3.08e-09	0.262	0.564	0.363	1.22e-06	8.9e-07	1.08e-06	0.875	0.865	0.945	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	2.49	0.316	0.254	0.262	-2.17	-2.23	-2.22	-0.0628	-0.0547	0.00807	0.664	-1.82	0.347	0.41	0.402
"10"	"add"	"P22333"	2.51679092315561e-10	0.149907884996524	0.201636889482744	0.19135107582843	5.63345019074941e-10	1.29777105607251e-10	1.27696025449388e-10	0.0142854474406233	0.0134386234245061	0.973363237692726	2.87e-05	0.753	0.822	0.748	0.000257	2.63e-05	2.76e-05	0.469	0.244	0.947	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	1.74	0.125	-0.11	-0.113	-1.61	-1.85	-1.85	-0.235	-0.238	-0.00277	0.328	-1.41	0.202	0.438	0.441
