	GO	0	1	2
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_0	GO:0030529 ribonucleoprotein complex	0.000/-5.671	0.000/-22.588	-42.036/0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_1	GO:0003735 structural constituent of ribosome	-0.000/-4.286	0.000/-23.714	-40.453/0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_2	GO:0005840 ribosome	-0.000/-4.193	0.000/-23.276	-39.663/0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_3	GO:0006412 translation	-0.012/-1.295	-0.000/-21.571	-32.547/-0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_4	GO:0019843 rRNA binding	0.000/-3.669	0.000/-15.877	-28.647/0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_5	GO:0003723 RNA binding	-0.002/-1.950	-0.000/-9.099	-18.533/-0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_6	GO:0005624 membrane fraction	-11.887/0.000	0.000/-11.513	-0.418/-0.134
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_7	GO:0048038 quinone binding	-9.044/0.000	0.000/-5.543	-0.000/-1.073
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_8	GO:0006096 glycolysis	-9.133/-0.000	-0.000/-5.105	-0.003/-1.339
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_9	GO:0008652 amino acid biosynthetic process	-7.104/-0.000	-0.006/-1.682	-0.000/-4.038
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_10	GO:0050136 NADH dehydrogenase (quinone) activity	-7.201/-0.000	-0.000/-3.891	0.000/-1.239
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_11	GO:0006826 iron ion transport	-0.021/-0.932	-0.000/-4.014	-7.536/-0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_12	GO:0000049 tRNA binding	-0.015/-0.797	-0.000/-3.891	-6.756/-0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_13	GO:0019861 flagellum	0.000/-2.971	-6.175/0.000	0.000/-2.483
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_14	GO:0006099 tricarboxylic acid cycle	-6.810/-0.000	-0.000/-3.774	-0.007/-1.068
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_15	GO:0051082 unfolded protein binding	-5.304/-0.000	0.000/-5.116	-0.194/-0.183
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_16	GO:0008033 tRNA processing	-0.001/-1.774	-0.001/-2.249	-6.195/-0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_17	GO:0015934 large ribosomal subunit	0.000/-0.690	0.000/-2.980	-5.351/-0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_18	GO:0005351 sugar porter activity	-0.276/-0.241	-2.887/-0.000	-0.000/-5.438
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_19	GO:0005975 carbohydrate metabolic process	-1.119/-0.022	-1.374/-0.012	-0.000/-5.397
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_20	GO:0050661 NADP binding	-4.297/-0.000	-0.000/-4.582	-0.351/-0.103
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_21	GO:0006353 transcription termination	-0.000/-0.592	-0.000/-2.554	-4.585/-0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_22	GO:0009239 enterobactin biosynthetic process	-0.000/-0.592	-0.000/-2.554	-4.585/-0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_23	GO:0015891 siderophore transport	-0.000/-0.592	-0.000/-2.554	-4.585/-0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_24	GO:0015935 small ribosomal subunit	-0.000/-0.592	-0.000/-2.554	-4.585/-0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_25	GO:0003676 nucleic acid binding	-0.156/-0.372	-0.000/-3.505	-5.190/-0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_26	GO:0009401 phosphoenolpyruvate-dependent sugar phosphotransferase system	-1.916/-0.002	-0.342/-0.177	0.000/-3.735
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_27	GO:0006950 response to stress	-4.168/-0.000	-0.001/-2.023	0.000/-0.990
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_28	GO:0015343 siderophore-iron transporter activity	0.000/-0.493	0.000/-2.128	-3.819/-0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_29	GO:0006417 regulation of translation	-0.671/-0.034	-0.000/-3.791	-2.802/-0.000
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_30	GO:0001539 ciliary or flagellar motility	0.000/-1.779	-3.696/0.000	0.000/-1.487
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_31	GO:0030170 pyridoxal phosphate binding	-4.345/-0.000	-0.002/-1.961	-0.014/-1.124
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_32	GO:0009082 branched chain family amino acid biosynthetic process	-3.567/-0.000	-0.005/-1.425	0.000/-1.321
tet_FDR0.01_discrete_vs_1.txt_PO_go_P.1_PAGE_33	GO:0043213 bacteriocin transport	0.000/-0.690	-0.000/-1.877	-3.809/-0.000
