	gene	bnum
0	thrL	b0001
0	thrA	b0002
1	thrB	b0003
2	thrC	b0004
3	yaaX	b0005
4	yaaA	b0006
5	yaaJ	b0007
6	talB	b0008
7	mog	b0009
8	satP	b0010
9	yaaW	b0011
10	yaaI	b0013
11	dnaK	b0014
12	dnaJ	b0015
13	insL1	b0016
14	mokC	b0018
15	hokC	b4412
16	sokC	b4413
17	nhaA	b0019
18	nhaR	b0020
19	insB1	b0021
20	insA	b0022
21	rpsT	b0023
22	yaaY	b0024
23	ribF	b0025
24	ileS	b0026
25	lspA	b0027
26	fkpB	b0028
27	ispH	b0029
28	rihC	b0030
29	dapB	b0031
30	carA	b0032
31	carB	b0033
32	caiF	b0034
33	caiE	b0035
34	caiD	b0036
35	caiC	b0037
36	caiB	b0038
37	caiA	b0039
38	caiT	b0040
39	fixA	b0041
40	fixB	b0042
41	fixC	b0043
42	fixX	b0044
43	yaaU	b0045
44	kefF	b0046
45	kefC	b0047
46	folA	b0048
47	apaH	b0049
48	apaG	b0050
49	rsmA	b0051
50	pdxA	b0052
51	surA	b0053
52	lptD	b0054
53	djlA	b0055
54	rluA	b0058
55	rapA	b0059
56	polB	b0060
57	araD	b0061
58	araA	b0062
59	araB	b0063
60	araC	b0064
61	yabI	b0065
62	thiQ	b0066
63	thiP	b0067
64	thiB	b0068
65	sgrR	b0069
66	sgrS	b4577
67	sgrT	b4662
68	setA	b0070
69	leuD	b0071
70	leuC	b0072
71	leuB	b0073
72	leuA	b0074
73	leuL	b0075
74	leuO	b0076
75	ilvI	b0077
76	ilvH	b0078
77	cra	b0080
78	mraZ	b0081
79	rsmH	b0082
80	ftsL	b0083
81	ftsI	b0084
82	murE	b0085
83	murF	b0086
84	mraY	b0087
85	murD	b0088
86	ftsW	b0089
87	murG	b0090
88	murC	b0091
89	ddlB	b0092
90	ftsQ	b0093
91	ftsA	b0094
92	ftsZ	b0095
93	lpxC	b0096
94	secM	b0097
95	secA	b0098
96	mutT	b0099
97	yacG	b0101
98	zapD	b0102
99	coaE	b0103
100	guaC	b0104
101	hofC	b0106
102	hofB	b0107
103	ppdD	b0108
104	nadC	b0109
105	ampD	b0110
106	ampE	b0111
107	aroP	b0112
108	pdhR	b0113
109	aceE	b0114
110	aceF	b0115
111	lpd	b0116
112	yacH	b0117
113	acnB	b0118
114	yacL	b0119
115	speD	b0120
116	speE	b0121
117	yacC	b0122
118	cueO	b0123
119	gcd	b0124
120	hpt	b0125
121	can	b0126
122	yadG	b0127
123	yadH	b0128
124	yadI	b0129
125	yadE	b0130
126	panD	b0131
127	yadD	b0132
128	panC	b0133
129	panB	b0134
130	yadC	b0135
131	yadK	b0136
132	yadL	b0137
133	yadM	b0138
134	htrE	b0139
135	yadV	b0140
136	yadN	b0141
137	folK	b0142
138	pcnB	b0143
139	gluQ	b0144
140	dksA	b0145
141	sfsA	b0146
142	ligT	b0147
143	hrpB	b0148
144	mrcB	b0149
145	fhuA	b0150
146	fhuC	b0151
147	fhuD	b0152
148	fhuB	b0153
149	hemL	b0154
150	clcA	b0155
151	erpA	b0156
152	yadS	b0157
153	btuF	b0158
154	mtn	b0159
155	dgt	b0160
156	degP	b0161
157	cdaR	b0162
158	yaeH	b0163
159	yaeI	b0164
