overnight,DMSO,DMSO,DMSO,bortezomib,bortezomib,bortezomib,late_bortezomib,late_bortezomib,late_bortezomib,blank,DMSO,DMSO,DMSO,bortezomib,bortezomib,bortezomib,late_bortezomib,late_bortezomib,late_bortezomib,blank,DMSO,DMSO,DMSO,bortezomib,bortezomib,bortezomib,late_bortezomib,late_bortezomib,late_bortezomib,blank,DMSO,DMSO,DMSO,bortezomib,bortezomib,bortezomib,late_bortezomib,late_bortezomib,late_bortezomib,blank
diluted into,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,bortezomib,bortezomib,bortezomib,bortezomib,bortezomib,bortezomib,bortezomib,bortezomib,bortezomib,bortezomib,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,bortezomib,bortezomib,bortezomib,bortezomib,bortezomib,bortezomib,bortezomib,bortezomib,bortezomib,bortezomib
washed,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,no_wash,wash,wash,wash,wash,wash,wash,wash,wash,wash,wash,wash,wash,wash,wash,wash,wash,wash,wash,wash,wash
0.166666667,0.021,0.044,0.06,0.063,0.066,0.057,0.037,0.062,0.072,0,0.049,0.023,0.053,0.025,0.031,0.027,0.041,0.041,0.04,0,0.021,0.027,0.027,0.037,0.045,0.04,0.042,0.034,0.022,0,0.022,0.051,0.037,0.027,0.027,0.023,0.022,0.021,0.021,0
0.333333333,0.024,0.045,0.059,0.085,0.088,0.093,0.079,0.082,0.055,0,0.051,0.023,0.044,0.025,0.027,0.024,0.034,0.035,0.037,0,0.021,0.024,0.023,0.025,0.032,0.032,0.036,0.031,0.022,0,0.022,0.047,0.033,0.027,0.022,0.023,0.023,0.021,0.021,0
0.5,0.029,0.052,0.069,0.068,0.08,0.057,0.055,0.049,0.048,0,0.051,0.023,0.036,0.024,0.026,0.026,0.034,0.035,0.038,0,0.02,0.024,0.023,0.024,0.029,0.023,0.028,0.026,0.021,0,0.021,0.048,0.027,0.027,0.022,0.023,0.023,0.022,0.021,0
0.666666667,0.032,0.054,0.076,0.056,0.055,0.049,0.058,0.047,0.045,0,0.053,0.024,0.036,0.028,0.033,0.031,0.036,0.043,0.04,0,0.021,0.023,0.023,0.024,0.028,0.024,0.026,0.025,0.021,0,0.022,0.049,0.026,0.027,0.023,0.024,0.022,0.022,0.02,0
0.833333333,0.032,0.051,0.076,0.054,0.05,0.046,0.057,0.05,0.051,0,0.055,0.026,0.046,0.029,0.03,0.048,0.037,0.047,0.041,0,0.021,0.024,0.023,0.025,0.028,0.024,0.026,0.026,0.021,0,0.023,0.05,0.028,0.029,0.024,0.025,0.025,0.022,0.022,0
1,0.03,0.05,0.067,0.051,0.049,0.049,0.05,0.048,0.059,0,0.054,0.026,0.045,0.031,0.042,0.043,0.038,0.043,0.042,0,0.023,0.025,0.027,0.028,0.032,0.027,0.028,0.026,0.023,0,0.023,0.051,0.029,0.031,0.026,0.028,0.025,0.023,0.022,0
1.166666667,0.032,0.048,0.062,0.055,0.061,0.057,0.047,0.047,0.057,0,0.052,0.023,0.041,0.032,0.049,0.04,0.036,0.04,0.039,0,0.022,0.025,0.024,0.029,0.033,0.029,0.027,0.026,0.022,0,0.023,0.052,0.028,0.033,0.028,0.029,0.025,0.023,0.022,0
1.333333333,0.032,0.047,0.06,0.059,0.071,0.06,0.044,0.046,0.054,0,0.054,0.027,0.043,0.039,0.049,0.049,0.04,0.044,0.043,0,0.022,0.025,0.026,0.034,0.037,0.032,0.028,0.026,0.022,0,0.024,0.052,0.03,0.038,0.032,0.034,0.026,0.024,0.024,0
1.5,0.031,0.046,0.056,0.069,0.075,0.062,0.042,0.045,0.05,0,0.054,0.028,0.044,0.045,0.054,0.056,0.04,0.046,0.044,0,0.022,0.025,0.027,0.039,0.041,0.038,0.028,0.027,0.023,0,0.025,0.053,0.03,0.042,0.035,0.039,0.026,0.025,0.023,0
1.666666667,0.034,0.05,0.058,0.084,0.08,0.071,0.045,0.048,0.051,0,0.054,0.028,0.044,0.055,0.073,0.061,0.041,0.046,0.045,0,0.022,0.024,0.023,0.045,0.046,0.044,0.028,0.027,0.023,0,0.024,0.052,0.029,0.049,0.04,0.045,0.026,0.024,0.024,0
1.833333333,0.031,0.048,0.059,0.088,0.085,0.079,0.044,0.047,0.049,0,0.049,0.023,0.039,0.058,0.068,0.069,0.038,0.041,0.042,0,0.022,0.025,0.024,0.054,0.055,0.053,0.028,0.027,0.023,0,0.025,0.054,0.03,0.059,0.049,0.055,0.028,0.026,0.026,0
2,0.034,0.05,0.061,0.097,0.09,0.095,0.046,0.05,0.05,0,0.05,0.025,0.04,0.072,0.074,0.081,0.039,0.042,0.044,0,0.022,0.024,0.024,0.066,0.065,0.064,0.029,0.027,0.023,0,0.018,0.046,0.024,0.064,0.052,0.06,0.021,0.02,0.019,0
2.166666667,0.035,0.048,0.065,0.118,0.115,0.111,0.049,0.053,0.053,0,0.05,0.026,0.042,0.098,0.095,0.101,0.041,0.044,0.045,0,0.016,0.019,0.018,0.076,0.073,0.074,0.024,0.022,0.019,0,0.019,0.047,0.024,0.08,0.066,0.076,0.022,0.021,0.02,0
2.333333333,0.035,0.048,0.064,0.127,0.111,0.131,0.051,0.054,0.054,0,0.052,0.027,0.044,0.105,0.102,0.114,0.045,0.048,0.046,0,0.023,0.026,0.025,0.101,0.094,0.1,0.031,0.03,0.026,0,0.026,0.054,0.031,0.106,0.091,0.102,0.03,0.028,0.027,0
2.5,0.034,0.047,0.06,0.151,0.124,0.137,0.056,0.057,0.055,0,0.053,0.029,0.046,0.122,0.119,0.132,0.049,0.053,0.051,0,0.023,0.025,0.024,0.125,0.113,0.125,0.033,0.03,0.026,0,0.026,0.054,0.031,0.129,0.113,0.129,0.032,0.03,0.028,0
2.666666667,0.035,0.048,0.064,0.189,0.154,0.173,0.058,0.06,0.059,0,0.052,0.029,0.047,0.153,0.146,0.163,0.052,0.056,0.051,0,0.02,0.022,0.022,0.157,0.14,0.157,0.031,0.029,0.025,0,0.025,0.053,0.031,0.159,0.144,0.169,0.033,0.03,0.029,0
2.833333333,0.038,0.048,0.066,0.236,0.194,0.218,0.066,0.065,0.065,0,0.048,0.025,0.043,0.183,0.174,0.199,0.05,0.054,0.048,0,0.015,0.018,0.018,0.195,0.175,0.196,0.03,0.026,0.022,0,0.023,0.049,0.028,0.197,0.177,0.214,0.032,0.029,0.027,0
3,0.037,0.048,0.066,0.289,0.233,0.256,0.073,0.069,0.07,0,0.051,0.031,0.047,0.232,0.22,0.251,0.059,0.065,0.055,0,0.018,0.02,0.02,0.245,0.223,0.243,0.034,0.031,0.026,0,0.027,0.052,0.032,0.25,0.223,0.267,0.038,0.035,0.034,0
3.166666667,0.037,0.048,0.065,0.363,0.301,0.323,0.076,0.075,0.075,0,0.051,0.031,0.049,0.296,0.277,0.316,0.067,0.071,0.057,0,0.024,0.027,0.026,0.305,0.285,0.312,0.045,0.041,0.036,0,0.025,0.051,0.031,0.305,0.273,0.308,0.041,0.037,0.035,0
3.333333333,0.04,0.051,0.068,0.423,0.361,0.373,0.092,0.09,0.088,0,0.038,0.022,0.04,0.343,0.33,0.365,0.066,0.068,0.049,0,0.02,0.022,0.023,0.36,0.337,0.363,0.047,0.041,0.036,0,0.031,0.056,0.037,0.368,0.333,0.372,0.052,0.047,0.044,0
3.5,0.04,0.051,0.068,0.497,0.425,0.43,0.093,0.092,0.088,0,0.045,0.031,0.052,0.417,0.4,0.445,0.079,0.079,0.06,0,0.013,0.016,0.02,0.425,0.401,0.43,0.047,0.04,0.034,0,0.027,0.051,0.033,0.424,0.394,0.445,0.054,0.048,0.043,0
3.666666667,0.045,0.056,0.073,0.575,0.498,0.5,0.115,0.111,0.109,0,0.049,0.036,0.057,0.503,0.478,0.536,0.097,0.096,0.069,0,0.014,0.018,0.021,0.501,0.477,0.502,0.059,0.05,0.043,0,0.033,0.057,0.04,0.506,0.481,0.525,0.07,0.062,0.056,0
3.833333333,0.049,0.061,0.076,0.65,0.577,0.568,0.133,0.126,0.124,0,0.041,0.032,0.055,0.565,0.557,0.601,0.105,0.101,0.07,0,0.03,0.033,0.038,0.582,0.562,0.583,0.087,0.075,0.068,0,0.038,0.06,0.045,0.576,0.55,0.594,0.086,0.076,0.067,0
4,0.053,0.066,0.079,0.713,0.645,0.63,0.159,0.146,0.14,0,0.048,0.045,0.067,0.64,0.629,0.681,0.136,0.126,0.091,0,0.023,0.027,0.031,0.64,0.619,0.646,0.097,0.081,0.072,0,0.04,0.061,0.046,0.647,0.618,0.671,0.101,0.09,0.077,0
4.166666667,0.058,0.072,0.088,0.786,0.713,0.708,0.195,0.175,0.163,0,0.04,0.041,0.067,0.708,0.694,0.755,0.155,0.142,0.1,0,0.036,0.038,0.038,0.714,0.695,0.722,0.132,0.111,0.097,0,0.045,0.063,0.051,0.724,0.694,0.735,0.121,0.107,0.092,0
4.333333333,0.06,0.073,0.092,0.844,0.778,0.768,0.231,0.206,0.189,0,0.053,0.061,0.086,0.777,0.782,0.824,0.203,0.187,0.134,0,0.044,0.046,0.051,0.759,0.753,0.77,0.165,0.138,0.119,0,0.052,0.065,0.059,0.773,0.747,0.787,0.147,0.129,0.111,0
4.5,0.069,0.083,0.102,0.891,0.838,0.821,0.288,0.255,0.232,0,0.05,0.062,0.09,0.817,0.826,0.865,0.244,0.221,0.155,0,0.047,0.049,0.054,0.789,0.756,0.8,0.199,0.168,0.142,0,0.067,0.074,0.074,0.824,0.802,0.839,0.186,0.163,0.14,0
