overnight_length,strain,lag_survival,abx,date
17.5,Δlon-ΔsulA,4.07E-06,amp+cipro,
17.5,Δlon-ΔsulA,2.77E-06,amp+cipro,
17.5,metG*-Δlon-ΔsulA,3.23E-06,amp+cipro,
17.5,metG*-Δlon-ΔsulA,1.86E-06,amp+cipro,
17.5,metG*-ΔyqgE-Δlon-ΔsulA,1.04E-05,amp+cipro,
17.5,metG*-ΔyqgE-Δlon-ΔsulA,3.56E-06,amp+cipro,
24,wt,8.73E-06,amp+cipro,
24,wt,2.04E-05,amp+cipro,
24,Δlon-ΔsulA,0.00000425,amp+cipro,
24,Δlon-ΔsulA,1.69E-06,amp+cipro,
24,Δlon-ΔsulA,0.0000032,amp+cipro,
24,metG*-Δlon-ΔsulA,2.13E-06,amp+cipro,
24,metG*-Δlon-ΔsulA,1.85E-06,amp+cipro,
24,metG*-Δlon-ΔsulA,4.41E-06,amp+cipro,
24,metG*-ΔyqgE-Δlon-ΔsulA,0.0000078,amp+cipro,
24,metG*-ΔyqgE-Δlon-ΔsulA,3.18E-06,amp+cipro,
24,metG*-ΔyqgE-Δlon-ΔsulA,7.41E-06,amp+cipro,
23.08333333,wt,6.98E-06,amp+cipro,
23.08333333,Δlon,8.37E-08,amp+cipro,
23.08333333,metG*,0.338888889,amp+cipro,
23.08333333,metG*-Δlon,0.00000014,amp+cipro,
23.08333333,metG*-ΔyqgE,0.023255814,amp+cipro,
23.08333333,metG*-ΔyqgE-Δlon,0.000000225,amp+cipro,
24.75,wt,1.64E-05,amp+cipro,
24.75,wt,1.57E-05,amp+cipro,
24.75,Δlon,2.12E-07,amp+cipro,
24.75,Δlon,1.56E-07,amp+cipro,
24.75,metG*-Δlon,0.00000008,amp+cipro,
24.75,metG*-Δlon,1.14E-07,amp+cipro,
24.75,metG*-ΔyqgE-Δlon,1.63E-07,amp+cipro,
24.75,metG*-ΔyqgE-Δlon,5.77E-08,amp+cipro,
31.41666667,metG*-ΔyqgE,0.075833333,amp+cipro,
31.41666667,metG*-ΔyqgE,0.070445344,amp+cipro,
31.41666667,metG*-ΔyqgE,0.061921708,amp+cipro,
16.5,metG*-ΔyqgE,0.000326087,cipro,
24.16666667,metG*-ΔyqgE,0.048051948,cipro,
24.16666667,metG*-ΔyqgE,0.061983471,cipro,
24.16666667,metG*-ΔyqgE,0.048888889,cipro,
24.16666667,metG*-ΔyqgE,0.034415584,amp+cipro,
24.16666667,metG*-ΔyqgE,0.045454545,amp+cipro,
24.16666667,metG*-ΔyqgE,0.059259259,amp+cipro,
