elapsed_time,MG1655_n,MG1655_n,MG1655_n,metG_n,metG-ΔyqgE,metG_n,metG-ΔyqgE,metG_n,metG-ΔyqgE,MG1655_n,metG_n,MG1655-ΔyqgE,metG-ΔyqgE,MG1655_n,metG_n,MG1655-ΔyqgE,metG-ΔyqgE,MG1655_n,MG1655-ΔyqgE,metG-ΔyqgE,MG1655-ΔyqgE,MG1655-ΔyqgE,MG1655-ΔyqgE
0.166666667,893,917,927,590,848,585,884,598,893,960,628,1003,1209,844,603,1042,970,959,1009,1135,861,873,893
0.333333333,911,901,902,565,845,580,859,563,835,993,636,1003,1179,867,587,1042,941,910,1038,1153,855,872,865
0.5,882,880,897,570,840,580,831,560,820,947,626,1037,1200,854,632,1031,977,948,1038,1138,842,831,840
0.666666667,902,918,908,590,852,621,819,573,882,1055,671,1126,1312,886,650,1179,1098,957,1061,1213,836,889,873
0.833333333,954,938,939,700,915,690,907,655,941,1132,710,1271,1433,977,700,1347,1215,1014,1186,1335,930,987,925
1,1044,1048,1070,821,1042,861,1054,723,1097,1303,795,1497,1707,1114,769,1524,1460,1142,1425,1579,1065,1179,1075
1.166666667,1222,1203,1213,972,1246,1068,1218,875,1317,1502,897,1731,2070,1303,850,1738,1767,1357,1663,1822,1262,1383,1241
1.333333333,1415,1412,1458,1148,1502,1263,1409,1026,1642,1759,921,2027,2321,1479,927,2075,2041,1589,1963,2095,1501,1710,1423
1.5,1669,1658,1702,1361,1779,1509,1655,1175,1894,2096,973,2360,2673,1774,994,2387,2373,1854,2256,2471,1783,2092,1693
1.666666667,1956,1970,2034,1564,2093,1714,1967,1373,2251,2398,1033,2691,3065,2119,1025,2729,2717,2118,2608,2833,2145,2432,2082
1.833333333,2243,2311,2313,1703,2446,1959,2245,1611,2637,2693,1058,3167,3463,2416,1051,3111,3083,2382,3019,3256,2480,2868,2419
2,2644,2711,2767,1943,2771,2179,2661,1758,2996,3076,1108,3491,3874,2718,1093,3453,3483,2739,3456,3698,2987,3244,2797
2.166666667,3047,3039,3047,2156,3193,2457,2925,2064,3369,3449,1159,3958,4356,3104,1132,3903,3869,3128,3771,4077,3350,3658,3236
2.333333333,3415,3367,3432,2380,3534,2677,3319,2270,3712,3691,1238,4331,4845,3463,1187,4305,4376,3499,4264,4500,3740,4101,3538
