		pre-abx	stat+cipro	stat+amp	1:50 + amp	1:50 + cipro	date
35	w/ bz	3300000	220000	4000000	18.0	0.8	20230619
40	w/ bz	3200000	380000	2600000	5000.0	580.0	20230619
50	w/ bz	4600000	480000	3000000	440.0	180.0	20230619
152	w/ bz	3600000	500000	3400000	4600.0	800.0	20230619
35	no bz	4900000	220000	4400000	12.0	10.0	20230619
40	no bz	1800000	1800000	1400000	5200.0	4000.0	20230619
50	no bz	10000000	1000000	2200000	380.0	26.0	20230619
152	no bz	1900000	690000	2200000	4800.0	20000.0	20230619
35	w/ bz	8000000	220000	2600000	160.0	1.0	20230615
40	w/ bz	3800000	280000	3200000	20000.0	280.0	20230615
50	w/ bz	5800000	350000	3600000	800.0	120.0	20230615
152	w/ bz	5100000	540000	5200000	8000.0	600.0	20230615
35	no bz	7600000	510000	1200000	12.0	6.0	20230615
40	no bz	2400000	610000	3400000	16000.0	4500.0	20230615
50	no bz	3800000	680000	2000000	220.0	60.0	20230615
152	no bz	2000000	600000	4200000	16000.0	6000.0	20230615
35	w/ bz	5900000	100000	6200000		1.2	20230630
40	w/ bz	6150000	780000	5000000	5400.0	800.0	20230630
50	w/ bz	3400000	660000	6800000	1600.0	410.0	20230630
152	w/ bz	3100000	600000	4200000	12000.0	1000.0	20230630
35	no bz	4200000	260000	5500000		10.0	20230630
40	no bz	2200000	820000	1800000	18000.0	6700.0	20230630
50	no bz	4300000	1800000	5900000	1000.0	340.0	20230630
152	no bz	1600000	800000	1600000	18000.0	6000.0	20230630
35	w/ bz	6100000	340000	4000000	7.5	4.5	20230703_1
40	w/ bz	6550000	500000	3800000	16000.0	600.0	20230703_1
50	w/ bz	5200000	660000	5100000	600.0	1000.0	20230703_1
152	w/ bz	5700000	910000	2700000	20000.0	3600.0	20230703_1
35	no bz	4300000	450000	6800000	4.6	9.8	20230703_1
40	no bz	1600000	450000	1200000	13800.0	12000.0	20230703_1
50	no bz	6500000	720000	6800000	2800.0	800.0	20230703_1
152	no bz	2800000	810000	1800000	15900.0	8200.0	20230703_1
35	w/ bz	3100000	200000	3400000	6.2	1.9	20230703_2
40	w/ bz	5450000	990000	3500000	10000.0	2000.0	20230703_2
50	w/ bz	6200000	550000	4200000	580.0	300.0	20230703_2
152	w/ bz	6200000	740000	3700000	6000.0	1800.0	20230703_2
35	no bz	4800000	400000	6200000	5.7	4.1	20230703_2
40	no bz	2000000	930000	1800000	24000.0	7500.0	20230703_2
50	no bz	5500000	1110000	8000000	1200.0	600.0	20230703_2
152	no bz	1800000	870000	2000000	18000.0	9100.0	20230703_2
