,date,doubling_time
MG1655,20230127,0.507057191
MG1655,20230127,0.508545254
MG1655,20230127,0.522499005
MG1655,20230127,0.51192554
MG1655,20230127,0.548983986
MG1655,20230127,0.51203899
MG1655,20230127,0.493027371
MG1655,20230127,0.506538425
MG1655,20230127,0.503813912
MG1655-∆yqgE,20230127,0.5005395579999999
MG1655-∆yqgE,20230127,0.5092551470000001
MG1655-∆yqgE,20230127,0.523801995
MG1655-∆yqgE,20230127,0.511245892
MG1655-∆yqgE,20230127,0.52503195
MG1655-∆yqgE,20230127,0.538868989
MG1655-∆yqgE,20230127,0.482122265
MG1655,20211211,0.463953936
MG1655,20211211,0.47935489700000006
MG1655,20211211,0.500106191
metG,20211211,0.566296716
metG,20211211,0.569086355
metG,20211211,0.544927029
MG1655,20221002,0.317520468
MG1655,20221002,0.34714638200000003
metG,20221002,0.537073594
metG,20221002,0.589410868
metG-∆yqgE,20221002,0.557147481
metG-∆yqgE,20221002,0.571762089
MG1655,20221010,0.48989128600000004
MG1655,20221010,0.498810579
metG,20221010,0.568153427
metG,20221010,0.585675691
metG-∆yqgE,20221010,0.51835715
metG-∆yqgE,20221010,0.594873996
MG1655,20230118,0.46999402
MG1655,20230118,0.440540982
MG1655,20230118,0.4352026
metG,20230118,0.542963482
metG,20230118,0.551517489
metG,20230118,0.626772023
metG-∆yqgE,20230118,0.47475834299999997
metG-∆yqgE,20230118,0.5123796429999999
metG-∆yqgE,20230118,0.511472241
MG1655-∆lon-∆sulA,20230118,0.530415657
MG1655-∆lon-∆sulA,20230118,0.536657774
MG1655-∆lon-∆sulA,20230118,0.5548728629999999
metG-∆lon-∆sulA,20230118,0.55283712
metG-∆lon-∆sulA,20230118,0.543218794
metG-∆lon-∆sulA,20230118,0.523960375
MG1655,20230118,0.47540958899999997
MG1655,20230118,0.416279611
MG1655,20230118,0.43580457799999994
metG,20230118,0.580719823
metG,20230118,0.567967208
metG,20230118,0.573654871
metG-∆yqgE,20230118,0.49902604799999994
metG-∆yqgE,20230118,0.495707059
metG-∆yqgE,20230118,0.5263875920000001
MG1655-∆lon-∆sulA,20230118,0.521712465
MG1655-∆lon-∆sulA,20230118,0.511774351
MG1655-∆lon-∆sulA,20230118,0.519561637
metG-∆lon-∆sulA,20230118,0.48747955600000004
metG-∆lon-∆sulA,20230118,0.524079223
metG-∆lon-∆sulA,20230118,0.556387205
MG1655,20230118,0.47375243
MG1655,20230118,0.463240781
MG1655,20230118,0.45330402200000003
metG,20230118,0.5404656379999999
metG,20230118,0.552528641
metG,20230118,0.543730139
metG-∆yqgE,20230118,0.471048033
metG-∆yqgE,20230118,0.47652081700000004
metG-∆yqgE,20230118,0.48121853700000006
MG1655-∆lon-∆sulA,20230118,0.45785532799999995
MG1655-∆lon-∆sulA,20230118,0.45785532799999995
MG1655-∆lon-∆sulA,20230118,0.468279409
metG-∆lon-∆sulA,20230118,0.479719829
metG-∆lon-∆sulA,20230118,0.476553579
metG-∆lon-∆sulA,20230118,0.497093503
MG1655-pYqgE+,20230308,0.5096157029999999
MG1655-pYqgE+,20230308,0.507724735
MG1655-pYqgE+,20230308,0.495359545
