	GO	0	1	2
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_0	GO:0003723 RNA binding	-5.030/-0.000	-0.000/-17.471	-8.472/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_1	GO:0030529 ribonucleoprotein complex	-11.470/0.000	0.000/-14.394	-1.593/-0.005
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_2	GO:0003735 structural constituent of ribosome	-10.311/0.000	0.000/-13.569	-1.742/-0.004
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_3	GO:0005840 ribosome	-9.742/-0.000	0.000/-13.160	-1.822/-0.003
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_4	GO:0006412 translation	-8.353/-0.000	-0.000/-13.830	-3.288/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_5	GO:0019843 rRNA binding	-9.484/-0.000	0.000/-9.704	-0.658/-0.056
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_6	GO:0003676 nucleic acid binding	-0.000/-2.355	-0.000/-4.902	-10.722/0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_7	GO:0006826 iron ion transport	-0.010/-1.075	-0.000/-6.617	-10.771/0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_8	GO:0015198 oligopeptide transporter activity	0.000/-1.175	-0.000/-3.547	-6.598/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_9	GO:0006811 ion transport	-0.482/-0.116	-0.000/-5.820	-6.275/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_10	GO:0019861 flagellum	0.000/-2.286	-5.750/0.000	0.000/-2.897
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_11	GO:0008610 lipid biosynthetic process	-5.325/-0.000	-0.000/-5.206	-0.525/-0.078
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_12	GO:0006857 oligopeptide transport	0.000/-1.383	-0.000/-2.498	-5.321/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_13	GO:0015031 protein transport	-0.091/-0.476	-0.000/-3.808	-5.637/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_14	GO:0006633 fatty acid biosynthetic process	-5.136/-0.000	-0.000/-3.928	-0.178/-0.237
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_15	GO:0004872 receptor activity	0.000/-0.621	-0.000/-3.066	-5.054/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_16	GO:0005975 carbohydrate metabolic process	-0.020/-1.098	-4.938/-0.000	-0.000/-4.303
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_17	GO:0005624 membrane fraction	-3.973/-0.000	-0.000/-4.948	-1.070/-0.021
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_18	GO:0009239 enterobactin biosynthetic process	0.000/-0.414	0.000/-2.902	-4.446/0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_19	GO:0015891 siderophore transport	0.000/-0.414	0.000/-2.902	-4.446/0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_20	GO:0006221 pyrimidine nucleotide biosynthetic process	0.000/-0.828	-0.000/-2.466	-4.564/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_21	GO:0046873 metal ion transporter activity	-4.175/-0.000	0.000/-2.417	0.000/-0.437
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_22	GO:0008026 ATP-dependent helicase activity	0.000/-1.036	-0.001/-2.123	-4.330/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_23	GO:0045449 regulation of transcription	-0.028/-0.891	-4.073/-0.000	-0.000/-3.721
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_24	GO:0016226 iron-sulfur cluster assembly	-0.173/-0.139	-0.000/-3.386	-3.674/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_25	GO:0043213 bacteriocin transport	-0.173/-0.139	-0.000/-3.386	-3.674/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_26	GO:0006260 DNA replication	-0.003/-1.585	-0.005/-1.616	-4.234/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_27	GO:0015934 large ribosomal subunit	-2.965/-0.000	-0.000/-3.386	-0.427/-0.055
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_28	GO:0006096 glycolysis	-4.457/-0.000	-0.000/-2.904	-0.124/-0.359
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_29	GO:0008168 methyltransferase activity	-0.026/-0.898	-0.001/-2.319	-4.535/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_30	GO:0003918 DNA topoisomerase (ATP-hydrolyzing) activity	-0.000/-0.345	0.000/-2.417	-3.703/0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_31	GO:0005381 iron ion transporter activity	-0.000/-0.345	0.000/-2.417	-3.703/0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_32	GO:0015343 siderophore-iron transporter activity	-0.000/-0.345	0.000/-2.417	-3.703/0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_33	GO:0001539 ciliary or flagellar motility	0.000/-1.383	-3.476/0.000	0.000/-1.752
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_34	GO:0000049 tRNA binding	-1.678/-0.002	-0.000/-4.020	-1.794/-0.002
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_35	GO:0004386 helicase activity	-0.023/-0.791	-0.001/-2.221	-4.151/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_36	GO:0004871 signal transducer activity	0.000/-2.704	-2.998/-0.000	-0.025/-0.867
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_37	GO:0051536 iron-sulfur cluster binding	-0.000/-3.423	-0.392/-0.175	-1.928/-0.003
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_38	GO:0006417 regulation of translation	-3.244/-0.000	-0.000/-3.327	-0.423/-0.076
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_39	GO:0019344 cysteine biosynthetic process	-3.566/-0.000	-0.003/-1.447	0.000/-0.962
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_40	GO:0006097 glyoxylate cycle	-0.212/-0.106	0.000/-2.902	-2.996/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_41	GO:0006541 glutamine metabolic process	0.000/-1.036	-0.003/-1.553	-3.435/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_42	GO:0006099 tricarboxylic acid cycle	-1.486/-0.004	-0.000/-3.836	-1.965/-0.001
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_43	GO:0016874 ligase activity	-1.545/-0.006	-0.000/-3.995	-2.282/-0.001
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_44	GO:0030001 metal ion transport	-3.453/-0.000	-0.001/-1.778	0.000/-0.524
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_45	GO:0004748 ribonucleoside-diphosphate reductase activity	-0.000/-0.276	-0.000/-1.933	-2.962/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_46	GO:0006827 high affinity iron ion transport	-0.000/-0.276	-0.000/-1.933	-2.962/-0.000
ipageInput_fig1_clust3_vs_2_FDR_0.01_markers_for_fig1.txt_PO_go_P.05_PAGE_47	GO:0045263 proton-transporting ATP synthase complex, coupling factor F(o)	-0.000/-0.276	-0.000/-1.933	-2.962/-0.000
