	GO	0	1	2
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_0	GO:0006412 translation	-7.098/-0.000	0.000/-14.146	-7.325/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_1	GO:0003735 structural constituent of ribosome	-9.990/-0.000	-0.000/-8.964	-2.152/-0.001
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_2	GO:0005840 ribosome	-8.961/-0.000	-0.000/-9.226	-2.655/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_3	GO:0030529 ribonucleoprotein complex	-9.762/-0.000	-0.000/-8.467	-1.992/-0.002
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_4	GO:0019843 rRNA binding	-11.289/-0.000	-0.000/-6.053	-0.463/-0.098
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_5	GO:0003723 RNA binding	-8.830/-0.000	-0.000/-5.718	-1.146/-0.019
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_6	GO:0005624 membrane fraction	-0.085/-0.308	-0.000/-6.484	-7.430/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_7	GO:0004812 aminoacyl-tRNA ligase activity	-0.000/-0.323	-0.000/-5.128	-6.083/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_8	GO:0006096 glycolysis	-0.000/-0.323	-0.000/-3.653	-4.435/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_9	GO:0006418 tRNA aminoacylation for protein translation	-0.000/-0.248	-0.000/-3.631	-4.319/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_10	GO:0007165 signal transduction	0.000/-0.511	-3.623/0.000	0.000/-3.016
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_11	GO:0004177 aminopeptidase activity	-0.742/-0.007	-0.000/-3.667	-2.857/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_12	GO:0004871 signal transducer activity	-0.000/-0.461	-3.267/0.000	0.000/-2.719
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_13	GO:0015935 small ribosomal subunit	-1.964/-0.000	-0.000/-2.990	-1.291/-0.003
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_14	GO:0008652 amino acid biosynthetic process	-0.029/-0.611	-0.000/-2.652	-3.495/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_15	GO:0000155 two-component sensor activity	-0.000/-0.386	-2.734/0.000	0.000/-2.276
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_16	GO:0000917 barrier septum formation	-0.000/-0.112	-0.000/-2.733	-3.134/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_17	GO:0000160 two-component signal transduction system (phosphorelay)	-0.000/-0.890	-2.760/-0.000	-0.001/-2.025
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_18	GO:0004673 protein histidine kinase activity	-0.000/-0.348	-2.468/0.000	0.000/-2.054
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_19	GO:0018106 peptidyl-histidine phosphorylation	-0.000/-0.348	-2.468/0.000	0.000/-2.054
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_20	GO:0006564 L-serine biosynthetic process	0.000/-0.037	0.000/-2.216	-2.434/0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_21	GO:0015114 phosphate transporter activity	0.000/-0.037	0.000/-2.216	-2.434/0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_22	GO:0016868 intramolecular transferase activity, phosphotransferases	0.000/-0.037	0.000/-2.216	-2.434/0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_23	GO:0051920 peroxiredoxin activity	0.000/-0.037	0.000/-2.216	-2.434/0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_24	GO:0004601 peroxidase activity	0.000/-0.087	-0.000/-2.517	-2.857/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_25	GO:0016874 ligase activity	-0.043/-0.493	-0.001/-2.347	-3.020/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_26	GO:0006414 translational elongation	-0.000/-0.062	-0.000/-2.326	-2.605/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_27	GO:0016209 antioxidant activity	-0.000/-0.062	-0.000/-2.326	-2.605/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_28	GO:0016853 isomerase activity	-1.200/-0.009	-0.000/-2.764	-1.964/-0.002
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_29	GO:0006633 fatty acid biosynthetic process	-0.396/-0.041	-0.000/-2.667	-2.493/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_30	GO:0006006 glucose metabolic process	0.000/-0.136	-0.000/-2.137	-2.514/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_31	GO:0006950 response to stress	0.000/-0.136	-0.000/-2.137	-2.514/-0.000
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_32	GO:0003918 DNA topoisomerase (ATP-hydrolyzing) activity	-2.132/-0.000	-0.020/-0.642	0.000/-0.365
ipageInput_fig3_markers_hipA7_vs_tet.txt_PO_go_P.05_PAGE_33	GO:0006353 transcription termination	-1.964/-0.000	-0.036/-0.519	0.000/-0.438
