	0	1	2	3	4	5	6	7	8
ipageInput_fig3_pc1.txt_PO_go_P.005_PAGE_0	GO:0030529 ribonucleoprotein complex	-38.310/0.000	0.000/-3.452	-0.001/-1.791	0.000/-3.452	0.000/-3.452	0.000/-3.452	0.000/-3.452	-0.115/-0.422
ipageInput_fig3_pc1.txt_PO_go_P.005_PAGE_1	GO:0003735 structural constituent of ribosome	-39.995/0.000	0.000/-3.334	-0.002/-1.700	0.000/-3.334	0.000/-3.334	-0.000/-2.366	0.000/-3.334	-0.009/-1.217
ipageInput_fig3_pc1.txt_PO_go_P.005_PAGE_2	GO:0005840 ribosome	-39.093/0.000	0.000/-3.275	-0.002/-1.655	0.000/-3.275	0.000/-3.275	-0.000/-2.314	0.000/-3.275	-0.010/-1.178
ipageInput_fig3_pc1.txt_PO_go_P.005_PAGE_3	GO:0006412 translation	-28.058/-0.000	-0.000/-2.713	-0.000/-3.321	-0.000/-6.189	-0.000/-4.056	-0.001/-2.204	-0.007/-1.416	-2.695/-0.000
ipageInput_fig3_pc1.txt_PO_go_P.005_PAGE_4	GO:0019843 rRNA binding	-31.578/0.000	0.000/-2.157	0.000/-2.157	0.000/-2.157	0.000/-2.157	0.000/-2.157	0.000/-2.157	-0.003/-1.359
ipageInput_fig3_pc1.txt_PO_go_P.005_PAGE_5	GO:0003723 RNA binding	-18.425/0.000	-0.001/-2.244	-0.000/-2.757	-0.000/-2.757	-0.001/-2.244	-0.032/-0.889	-0.240/-0.264	-0.606/-0.080
ipageInput_fig3_pc1.txt_PO_go_P.005_PAGE_6	GO:0005624 membrane fraction	-0.843/-0.036	-0.017/-1.012	-0.001/-1.929	-0.005/-1.408	-0.094/-0.484	-0.044/-0.711	-0.005/-1.408	-9.852/-0.000
ipageInput_fig3_pc1.txt_PO_go_P.005_PAGE_7	GO:0006826 iron ion transport	-9.214/-0.000	-0.812/-0.032	-0.003/-1.306	-0.022/-0.813	-0.003/-1.306	-0.022/-0.813	-0.022/-0.813	-0.003/-1.310
ipageInput_fig3_pc1.txt_PO_go_P.005_PAGE_8	GO:0004812 aminoacyl-tRNA ligase activity	-0.068/-0.454	-0.014/-0.837	0.000/-1.513	0.000/-1.513	-0.014/-0.837	-0.014/-0.837	-0.662/-0.044	-8.343/-0.000
ipageInput_fig3_pc1.txt_PO_go_P.005_PAGE_9	GO:0000049 tRNA binding	-9.220/-0.000	0.000/-0.930	0.000/-0.930	-0.054/-0.412	0.000/-0.930	0.000/-0.930	-0.054/-0.412	-0.054/-0.413
