,MG1655,metG*,∆priA,metG*-∆priA,MG1655,metG*,∆priA,metG*-∆priA
0.166666667,-3.79423997,-3.523365016,-3.750754858,-3.989984547,-3.750754858,-3.750754858,-4.104394898,-3.630610546
0.333333333,-3.709082161,-3.490028595,-3.630610546,-3.839702344,-3.630610546,-3.750754858,-3.989984547,-3.937340813
0.5,-3.523365016,-3.42651519,-3.457767733,-3.709082161,-3.457767733,-3.669076827,-3.750754858,-3.750754858
0.666666667,-3.338222583,-3.42651519,-3.283414346,-3.630610546,-3.257097038,-3.630610546,-3.523365016,-3.709082161
0.833333333,-3.134994341,-3.42651519,-3.068302966,-3.709082161,-3.047025568,-3.630610546,-3.338222583,-3.709082161
1,-2.891372258,-3.42651519,-2.855970331,-3.669076827,-2.805111914,-3.593569274,-3.090042953,-3.557851192
1.166666667,-2.638057829,-3.39620984,-2.596956154,-3.630610546,-2.544656654,-3.557851192,-2.788718104,-3.557851192
1.333333333,-2.391416307,-3.39620984,-2.380546634,-3.630610546,-2.27789248,-3.557851192,-2.531998257,-3.557851192
1.5,-2.141316945,-3.366795955,-2.07544952,-3.593569274,-2.00619108,-3.523365016,-2.249044326,-3.523365016
1.666666667,-1.880590683,-3.366795955,-1.774902352,-3.593569274,-1.786771928,-3.490028595,-1.969690678,-3.523365016
1.833333333,-1.627092848,-3.338222583,-1.567816238,-3.557851192,-1.471852249,-3.457767733,-1.67932404,-3.523365016
2,-1.380312289,-3.338222583,-1.352859585,-3.523365016,-1.326140438,-3.457767733,-1.454573202,-3.490028595
2.166666667,-1.1858055,-3.310443018,-1.260543156,-3.523365016,-1.144132804,-3.42651519,-1.22587764,-3.457767733
2.333333333,-1.003756758,-3.257097038,-1.101115419,-3.457767733,-0.982163476,-3.366795955,-1.048394573,-3.39620984
2.5,-0.792967516,-3.206453305,-0.89037935,-3.39620984,-0.775442423,-3.310443018,-0.885519073,-3.257097038
2.666666667,-0.66067999,-3.134994341,-0.668454568,-3.283414346,-0.639606414,-3.231454607,-0.714370817,-3.182061852
2.833333333,-0.59511344,-3.068302966,-0.475619368,-3.182061852,-0.577143505,-3.134994341,-0.562996496,-3.047025568
3,-0.500050551,-2.946942109,-0.399731576,-3.090042953,-0.474011651,-3.047025568,-0.381992752,-2.985781943
3.166666667,-0.416273307,-2.855970331,-0.451770861,-2.966173471,-0.350266948,-2.909554577,-0.289684075,-2.946942109
3.333333333,-0.357389485,-2.695627681,-0.367447041,-2.928073625,-0.305846043,-2.756715373,-0.268533254,-2.855970331
3.5,-0.293700145,-2.519498095,-0.311291938,-2.891372258,-0.254247296,-2.624168717,-0.221270307,-2.772588722
3.666666667,-0.260715624,-2.338212271,-0.246540129,-2.805111914,-0.241434821,-2.436116486,-0.215051381,-2.638057829
3.833333333,-0.2338254,-2.124438908,-0.22752815,-2.710553331,-0.189346172,-2.268183666,-0.177334015,-2.583622623
4,-0.191766016,-1.920729851,-0.18572735,-2.638057829,-0.080667903,-2.067512971,-0.157238776,-2.459238903
4.166666667,-0.05921936,-1.701005106,-0.14792013,-2.507152259,-0.04447449,-1.867561183,-0.102586589,-2.297597551
4.333333333,-0.022756987,-1.471852249,-0.081752502,-2.338212271,-0.014606152,-1.642477767,-0.000500125,-2.221005106
4.5,-0.001501126,-1.246532419,0.016365354,-2.239610294,-0.000500125,-1.40853997,0.024204689,-2.107841016
4.666666667,0.013409687,-1.039871794,0.027128667,-2.175952442,0.010445258,-1.189084192,0.0329511,-2.051826375
4.833333333,0.020292703,-0.883097765,0.033918218,-2.036382052,0.019312311,-1.003756758,0.038739828,-1.927579192
5,0.022250609,-0.688159639,0.035849653,-1.969690678,0.021272135,-0.849800991,0.041621675,-1.829461336
5.166666667,0.024204689,-0.584292776,0.035849653,-1.900458886,0.022250609,-0.682207241,0.040661982,-1.75157768
5.333333333,0.023228126,-0.470803949,0.033918218,-1.745830537,0.022250609,-0.570044983,0.039701367,-1.627092848
5.5,0.023228126,-0.3588201,0.033918218,-1.642477767,0.021272135,-0.440833252,0.031983046,-1.520969264
5.666666667,0.025180299,-0.287015628,0.033918218,-1.558269626,0.019312311,-0.354534379,0.030044121,-1.467504417
5.833333333,0.023228126,-0.226273444,0.031983046,-1.446044366,0.018330957,-0.271152771,0.02810143,-1.356735559
6,0.025180299,-0.163107338,0.030044121,-1.352859585,0.01439588,-0.195406796,0.027128667,-1.267622831
6.166666667,0.022250609,-0.119346758,0.027128667,-1.246532419,0.01242252,-0.129539371,0.026154957,-1.147277461
6.333333333,0.021272135,-0.032006796,0.020292703,-1.182537524,0.010445258,-0.046567636,0.023228126,-1.065661189
6.5,0.020292703,0.013409687,0.018330957,-1.068568167,0.009455159,-0.012578782,0.021272135,-0.945462109
6.666666667,0.019312311,0.040661982,0.016365354,-0.961026626,0.007472015,0.01439588,0.020292703,-0.905103542
6.833333333,0.019312311,0.057797099,0.016365354,-0.920047781,0.006478966,0.038739828,0.020292703,-0.863935502
7,0.018330957,0.060624622,0.015381102,-0.868691753,0.00548493,0.049266241,0.019312311,-0.784166579
7.166666667,0.017348638,0.060624622,0.01439588,-0.773273225,0.00548493,0.055907632,0.018330957,-0.766793721
7.333333333,0.017348638,0.062505205,0.013409687,-0.730849048,0.004489905,0.057797099,0.017348638,-0.682207241
7.5,0.017348638,0.063444173,0.01242252,-0.670407694,0.004489905,0.057797099,0.017348638,-0.628296208
7.666666667,0.016365354,0.064382259,0.013409687,-0.628296208,0.003493889,0.057797099,0.017348638,-0.580711751
7.833333333,0.01439588,0.062505205,0.01242252,-0.526785643,0.00249688,0.056852812,0.017348638,-0.496758367
8,0.01242252,0.060624622,0.013409687,-0.483696956,0.004489905,0.054961558,0.016365354,-0.459657337
8.166666667,0.013409687,0.061565356,0.013409687,-0.386398045,0.004489905,0.054961558,0.017348638,-0.389345726
8.333333333,0.010445258,0.059683002,0.01439588,-0.337572842,0.003493889,0.053066721,0.017348638,-0.343194782
8.5,0.010445258,0.058740495,0.013409687,-0.279052746,0.003493889,0.053066721,0.017348638,-0.281700001
8.666666667,0.009455159,0.055907632,0.01439588,-0.262014326,0.00249688,0.051168287,0.017348638,-0.241434821
8.833333333,0.008464078,0.053066721,0.01439588,-0.190555362,0.00249688,0.050217716,0.017348638,-0.223768747
9,0.008464078,0.052117954,0.01439588,-0.154900961,0.003493889,0.049266241,0.017348638,-0.172569265
9.166666667,0.008464078,0.051168287,0.013409687,-0.109256986,0.00249688,0.046406373,0.018330957,-0.139836945
9.333333333,0.00548493,0.051168287,0.016365354,-0.082838278,0.003493889,0.045451263,0.019312311,-0.120474153
9.5,0.004489905,0.052117954,0.016365354,-0.057099592,0.003493889,0.04449524,0.021272135,-0.081752502
9.666666667,0.004489905,0.051168287,0.016365354,-0.014606152,0.003493889,0.045451263,0.021272135,-0.077421147
9.833333333,0.004489905,0.052117954,0.016365354,-0.030974804,0.003493889,0.045451263,0.021272135,-0.05921936
10,0.004489905,0.051168287,0.016365354,-0.009545413,0.00249688,0.045451263,0.019312311,-0.047615854
10.16666667,0.00548493,0.052117954,0.017348638,0.000499875,0.00249688,0.045451263,0.020292703,-0.05287349
10.33333333,0.00548493,0.052117954,0.017348638,0.00249688,0.00249688,0.046406373,0.022250609,-0.033039854
10.5,0.004489905,0.052117954,0.016365354,0.015381102,0.003493889,0.046406373,0.021272135,-0.030974804
10.66666667,0.006478966,0.052117954,0.016365354,-0.009545413,0.00249688,0.045451263,0.022250609,-0.022756987
10.83333333,0.007472015,0.054014588,0.016365354,0.018330957,0.001498876,0.046406373,0.022250609,-0.016637641
11,0.007472015,0.053066721,0.015381102,-0.00250313,0.001498876,0.046406373,0.022250609,-0.009545413
11.16666667,0.00548493,0.053066721,0.015381102,0.023228126,0.001498876,0.047360571,0.022250609,-0.013591954
11.33333333,0.004489905,0.053066721,0.015381102,0.022250609,0.001498876,0.045451263,0.021272135,-0.019692633
11.5,0.004489905,0.053066721,0.01439588,0.022250609,0.001498876,0.046406373,0.021272135,-0.004510155
11.66666667,0.003493889,0.054014588,0.01439588,0.035849653,0.000499875,0.046406373,0.021272135,0.007472015
11.83333333,0.003493889,0.054014588,0.015381102,0.027128667,-0.000500125,0.046406373,0.021272135,-0.007528266
12,0.006478966,0.054014588,0.01439588,0.013409687,-0.000500125,0.046406373,0.021272135,-0.008536331
12.16666667,0.003493889,0.054961558,0.01439588,0.034884402,-0.000500125,0.047360571,0.021272135,0.004489905
12.33333333,0.003493889,0.054961558,0.01439588,0.01242252,-0.00250313,0.04831386,0.021272135,-0.006521217
12.5,0.004489905,0.054961558,0.013409687,0.026154957,-0.001501126,0.046406373,0.020292703,0.00249688
12.66666667,0.004489905,0.054961558,0.013409687,0.02810143,-0.00250313,0.04831386,0.021272135,-0.004510155
12.83333333,0.003493889,0.055907632,0.01439588,-0.00250313,-0.003506139,0.04831386,0.021272135,-0.001501126
13,0.004489905,0.056852812,0.01242252,0.003493889,-0.003506139,0.047360571,0.020292703,0.001498876
13.16666667,0.00548493,0.056852812,0.013409687,-0.001501126,-0.005515181,0.04831386,0.020292703,0.003493889
13.33333333,0.00548493,0.057797099,0.013409687,-0.00250313,-0.005515181,0.047360571,0.021272135,-0.000500125
13.5,0.003493889,0.058740495,0.01242252,0.013409687,-0.005515181,0.04831386,0.021272135,-0.009545413
13.66666667,0.004489905,0.058740495,0.01242252,-0.020713042,-0.006521217,0.04831386,0.020292703,-0.006521217
13.83333333,0.00249688,0.058740495,0.013409687,0.004489905,-0.007528266,0.049266241,0.021272135,0.009455159
