date,time_from_OD0.1,amp,cipro,both,OD600,strain,phase,bioreactor?
20210421,0.433333333,3.33E-05,1.67E-05,1.67E-05,0.263,metG,lag,yes
20210421,1.2,1.76E-05,5.88E-06,5.88E-06,1.15,metG,lag,yes
20210421,1.683333333,1.18E-05,1.96E-05,3.92E-06,1.99,metG,lag,yes
20210421,2.25,2.86E-05,1.43E-05,1.43E-05,3.58,metG,lag,yes
20210421,2.733333333,0.004571429,0.001178571,0.001285714,4.29,metG,lag,yes
20210421,3.233333333,0.012857143,0.004285714,0.003071429,4.44,metG,lag,yes
20210421,3.716666667,0.038125,0.0068125,0.0045625,4.85,metG,lag,yes
20210421,24.23333333,0.348,0.132,0.188,7.06,metG,lag,yes
20210426,2,7.78E-06,0.000015,1.11E-06,2.47,metG,lag,yes
20210426,2.6,8.37E-06,7.67E-05,5.35E-06,3.93,metG,lag,yes
20210426,3.05,0.00168,0.00176,0.00224,4.3,metG,lag,yes
20210426,3.55,0.063636364,0.013636364,0.002772727,4.38,metG,lag,yes
20210426,4.75,0.068133803,0.016373239,0.017429577,4.09,metG,lag,yes
20210622,2.05,0.0000375,2.34E-05,1.41E-05,3.06,metG,lag,yes
20210622,2.666666667,0.002861111,0.002416667,,4.7,metG,lag,yes
20210622,3.733333333,0.031666667,0.007777778,,4.82,metG,lag,yes
20210622,5.133333333,0.09375,0.09875,,5.32,metG,lag,yes
20211220,2.321830986,0.0000625,0.0000125,,3.22,metG,lag,yes
20211220,2.905164319,0.003333333,0.0025,,4.4,metG,lag,yes
20211220,5.805164319,0.157142857,0.05,,5.54,metG,lag,yes
20211220,24.00516432,0.857142857,0.714285714,,5.9,metG,lag,yes
20220927,24,0.805882353,0.198823529,0.312941176,,metG,lag,no
20220927,24,1.035087719,0.398245614,0.436842105,,metG,lag,no
20220927,24,0.717821782,0.225742574,0.3,,metG,lag,no
20220802,24,0.5,0.333333333,0.333333333,,metG,lag,no
20220802,24,0.5,0.333333333,0.395833333,,metG,lag,no
20220802,24,0.333333333,0.25,0.333333333,,metG,lag,no
20220205,24,1,0.248484848,,,metG,lag,no
20211205,24,0.14375,0.175,,,metG,lag,no
20210615,0.648186989,2.24E-05,1.02E-06,1.02E-06,0.347,MG1655,lag,yes
20210615,1.464853656,2.65E-06,2.12E-06,1.06E-06,1.55,MG1655,lag,yes
20210615,2.114853656,3.33E-06,3.33E-06,1.67E-06,3.15,MG1655,lag,yes
20210615,3.131520322,4.29E-05,7.14E-05,2.32E-05,4.62,MG1655,lag,yes
20210615,3.864853656,2.61E-05,4.35E-05,4.35E-05,4.97,MG1655,lag,yes
20210615,26.28152032,0.00002,0.0000275,0.0000055,5.78,MG1655,lag,yes
20210618,0.738374736,1.79E-05,8.93E-07,8.93E-07,0.404,MG1655,lag,yes
20210618,1.388374736,3.57E-07,3.57E-07,3.21E-06,1.245,MG1655,lag,yes
20210618,2.138374736,0.000002,0.000002,6.67E-07,3.07,MG1655,lag,yes
20210618,3.205041403,1.96E-05,5.42E-05,1.65E-05,4.42,MG1655,lag,yes
20210618,3.938374736,5.12E-05,7.91E-05,3.72E-05,4.98,MG1655,lag,yes
20210618,26.88837474,0.00011,0.000236667,0.000113333,6.31,MG1655,lag,yes
20210721,2.066666667,1.29E-05,4.29E-06,,2.95,MG1655,lag,yes
20210721,2.933333333,6.82E-05,0.000254545,,3.98,MG1655,lag,yes
20210721,3.983333333,0.000125,0.000111111,,4.49,MG1655,lag,yes
20210721,5.516666667,0.0000625,0.0000125,,4.86,MG1655,lag,yes
20220802,24,3.70E-05,1.52E-04,1.96E-05,,MG1655,lag,no
20220802,24,2.37E-05,1.84E-04,1.05E-05,,MG1655,lag,no
20220802,24,3.33E-05,7.38E-05,7.14E-06,,MG1655,lag,no
20220205,24,1.00E-04,4.38E-04,,,MG1655,lag,no
20211205,24,1.17E-04,1.58E-04,,,MG1655,lag,no
20220421,24,2.62E-04,1.90E-04,,,MG1655,lag,no
20211119,24,1.08E-04,1.58E-04,,,MG1655,lag,no
20211119,24,2.67E-04,5.33E-04,,,MG1655,lag,no
20211119,24,3.00E-04,3.75E-04,,,MG1655,lag,no
20211119,24,5.00E-05,7.50E-05,,,MG1655,lag,no
20211119,24,2.33E-04,2.00E-04,,,MG1655,lag,no
20211119,24,1.25E-04,2.50E-04,,,MG1655,lag,no
20220909,24,,,1.27E-05,,MG1655,lag,no
20220909,24,,,1.02E-05,,MG1655,lag,no
20220909,24,,,4.17E-05,,MG1655,lag,no
20210421,0.433333333,2.58E-05,9.83E-06,5.75E-06,0.263,metG,undiluted,yes
20210421,1.2,6.06E-06,1.53E-05,3.12E-06,1.15,metG,undiluted,yes
20210421,1.683333333,7.84E-05,1.55E-05,8.24E-06,1.99,metG,undiluted,yes
20210421,2.25,1.86E-02,7.14E-04,7.36E-05,3.58,metG,undiluted,yes
20210421,2.733333333,1.43E-01,2.36E-02,1.00E-02,4.29,metG,undiluted,yes
20210421,3.233333333,1.43E-01,4.29E-02,8.57E-03,4.44,metG,undiluted,yes
20210421,3.716666667,1.00E-01,2.69E-02,2.25E-02,4.85,metG,undiluted,yes
20210421,24.23333333,6.40E-01,7.20E-01,8.80E-01,7.06,metG,undiluted,yes
20210426,2,8.89E-05,1.22E-05,2.11E-06,2.47,metG,undiluted,yes
20210426,2.6,2.79E-02,2.79E-03,8.14E-04,3.93,metG,undiluted,yes
20210426,3.05,1.40E-02,2.32E-03,1.28E-03,4.3,metG,undiluted,yes
20210426,3.55,3.32E-01,3.18E-02,3.05E-02,4.38,metG,undiluted,yes
20210426,4.75,3.17E-01,1.16E-01,1.37E-01,4.09,metG,undiluted,yes
20210402,24,0.52,0.48,0.1,,metG,undiluted,no
20221007,24,,,1.055555556,,metG,undiluted,no
20221007,24,,,0.625,,metG,undiluted,no
20221031,24,,,0.666666667,,metG,undiluted,no
20210615,0.648186989,8.57E-06,1.43E-06,5.71E-07,0.347,MG1655,undiluted,yes
20210615,1.464853656,4.07E-06,8.52E-07,4.81E-07,1.55,MG1655,undiluted,yes
20210615,2.114853656,0.043333333,0.000025,1.33E-06,3.15,MG1655,undiluted,yes
20210615,3.131520322,0.357142857,0.018571429,0.012857143,4.62,MG1655,undiluted,yes
20210615,3.864853656,0.434782609,0.01,0.009130435,4.97,MG1655,undiluted,yes
20210615,26.28152032,0.35,0.08875,0.0475,5.78,MG1655,undiluted,yes
20210618,0.738374736,0.00000875,0.000000875,0.000000125,0.404,MG1655,undiluted,yes
20210618,1.388374736,0.0000045,0.0000018,0.00000035,1.245,MG1655,undiluted,yes
20210618,2.138374736,0.046666667,0.0000019,4.67E-07,3.07,MG1655,undiluted,yes
20210618,3.205041403,0.583333333,0.012708333,0.01,4.42,MG1655,undiluted,yes
20210618,3.938374736,0.511627907,0.011627907,0.006976744,4.98,MG1655,undiluted,yes
20210618,26.88837474,1.3,0.076666667,0.096666667,6.31,MG1655,undiluted,yes
20221109,24,,,0.086363636,,MG1655,undiluted,no
20221109,24,,,0.053846154,,MG1655,undiluted,no
20221109,24,,,0.127314815,,MG1655,undiluted,no
20221007,24,,,0.08490566,,MG1655,undiluted,no
20221007,24,,,0.1,,MG1655,undiluted,no
20210409,22,0.608695652,0.122826087,0.032608696,7.86,MG1655,undiluted,yes
20211119,24,0.636363636,0.072727273,,,MG1655_in_tet,lag,no
20211119,24,0.444444444,0.055555556,,,MG1655_in_tet,lag,no
20211119,24,0.333333333,0.1,,,MG1655_in_tet,lag,no
20211119,24,0.001454545,0.001181818,,,MG1655_after_tet,lag,no
20211119,24,0.001222222,0.000666667,,,MG1655_after_tet,lag,no
20211119,24,0.000666667,0.001111111,,,MG1655_after_tet,lag,no
20211205,24,0.052272727,0.010681818,,,hipA7,lag,no
20211205,24,0.058928571,0.005357143,,,hipA7,lag,no
20211205,24,0.092307692,0.009807692,,,hipA7,lag,no
20220205,24,0.015,0.027118644,,,hipA7,lag,no
20220421,144,0.01,0.006875,,,MG1655_6day,lag,no
20220421,144,0.01,0.007857143,,,MG1655_6day,lag,no
20220421,144,0.0034,,,,MG1655_6day,lag,no
