0	uniprot	bnum
gene0	P0AD86	b0001
gene1	P00561	b0002
gene10	P75617	b0011
gene100	P36680	b0102
gene1000	P75883	b0985
gene1001	P75884	b0986
gene1002	P75885	b0987
gene1003	P0CF10	b4516
gene1004	P57998	b0988
gene1005	P0A982	b0989
gene1006	P0A978	b0990
gene1007	P0AAA5	b0991
gene1008	P0AC92	b4517
gene1009	P52636	b0992
gene101	P0A6I9	b0103
gene1010	P39453	b0993
gene1011	P38683	b0994
gene1012	P38684	b0995
gene1013	P33226	b0996
gene1014	P33225	b0997
gene1015	P36662	b0998
gene1016	P63264	b0999
gene1017	P36659	b1000
gene1018	P36661	b1001
gene1019	P19926	b1002
gene102	P60560	b0104
gene1020	P0AB14	b1003
gene1021	P0A8G6	b1004
gene1022	P56614	b4518
gene1023	P75892	b1006
gene1024	P75893	b1007
gene1025	P75894	b1008
gene1026	P75895	b1009
gene1027	P0AFQ5	b1010
gene1028	P75897	b1011
gene1029	P75898	b1012
gene103	P36646	b0106
gene1030	P0ACU2	b1013
gene1031	P09546	b1014
gene1032	P07117	b1015
gene1033	P75901	b4490
gene1034	P0AB24	b1018
gene1035	P31545	b1019
gene1036	P0A9K1	b1020
gene1037	P69432	b1021
gene1038	P75905	b1022
gene1039	P75906	b1023
gene104	P36645	b0107
gene1040	P69434	b1024
gene1041	P75908	b1025
gene1042	P0CF82	b1026
gene1043	P0CF69	b1027
gene1044	Q7DFV4	b1028
gene1045	P75910	b1029
gene1047	P75913	b1033
gene1048	P75914	b1034
gene1049	P75915	b1035
gene105	P36647	b0108
gene1050	P75916	b1036
gene1051	P0AEA2	b1037
gene1052	P0AE98	b1038
gene1053	P0AE95	b1039
gene1054	P52106	b1040
gene1055	P0ABK7	b1041
gene1056	P28307	b1042
gene1057	P52107	b1043
gene1058	P75917	b1044
gene1059	P0A8D6	b1045
gene106	P30011	b0109
gene1060	P75919	b1046
gene1061	P75920	b1047
gene1062	P33136	b1048
gene1063	P62517	b1049
gene1064	P0AB31	b1050
gene1065	P25738	b1051
gene1066	P25744	b1053
gene1067	P0ACV0	b1054
gene1068	P24188	b1055
gene1069	P0A8X2	b1056
gene107	P13016	b0110
gene1070	P75925	b1057
gene1071	P64442	b1058
gene1072	P40874	b1059
gene1073	P0AB33	b1060
