Set (sub-set)	# in sub-set	ERGO ID	b-number	gene name	"Gerdes et al, 2003"	PEC collection	Blattner et al.	SWISS-PROT FUNCTIONAL DESCRIPTION

"Set A: genes consistently essential between Gerdes et al., 2002 and PEC data (viable gene knockouts from UW data are shown in the sub-set A1)"								
A1	1	REC04815	b1204	pth	E	E	N	Peptidyl-tRNA hydrolase (EC 3.1.1.29)
A1	2	REC05684	b2828	lgt	E	E	N	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)
A1	3	REC02989	b3066	dnaG	E	E	N	DNA primase (EC 2.7.7.-)
A1	4	REC05932	b3306	rpsH	E	E	N	30S ribosomal protein S8
A1	5	REC06031	b3463	ftsE	E	E	N	Cell division ATP-binding protein ftsE
A1	6	REC06080	b3560	glyQ	E	E	N	Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)
A1	7	REC03559	b3639	dfp	E	E	N	DNA/pantothenate metabolism flavoprotein
A1	8	REC05018	b1637	tyrS	E	E	N	Tyrosyl-tRNA synthetase (EC 6.1.1.1)
A1	9	REC05063	b1719	thrS	E	E	N	Threonyl-tRNA synthetase (EC 6.1.1.3)
A1	10	REC05174	b1912	pgsA	E	E	N	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
A1	11	REC05355	b2231	gyrA	E	E	N	DNA gyrase subunit A (EC 5.99.1.3)
A1	12	REC05516	b2515	ispG*	E	E	N	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (gcpE)
A1	13	REC05552	b2566	era	E	E	N	GTP-binding protein era
A1	14	REC05554	b2568	lepB	E	E	N	Signal peptidase I (EC 3.4.21.89)
A1	15	REC05600	b2697	alaS	E	E	N	Alanyl-tRNA synthetase (EC 6.1.1.7)
A1	16	REC05733	b2925	fbaA	E	E	N	Fructose-bisphosphate aldolase class II (EC 4.1.2.13)

A2	1	REC06566	b0026	ileS	E	E	X	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
A2	2	REC00027	b0027	lspA	E	E	X	Lipoprotein signal peptidase (EC 3.4.23.36)
A2	3	REC00029	b0029	ispH*	E	E	X	IspH protein (lytB)
A2	4	REC00083	b0083	ftsL	E	E	X	Cell division protein ftsL
A2	5	REC00084	b0084	ftsI	E	E	X	Peptidoglycan synthetase ftsI precursor
A2	6	REC00085	b0085	murE	E	E	X	"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)"
A2	7	REC00088	b0088	murD	E	E	X	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)
A2	8	REC00089	b0089	ftsW	E	E	X	Cell division protein ftsW
A2	9	REC00090	b0090	murG	E	E	X	UDP-N-acetylglucosamine--N-acetylmuramyl-(Pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.-)
A2	10	REC00091	b0091	murC	E	E	X	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)
A2	11	REC00093	b0093	ftsQ	E	E	X	Cell division protein ftsQ
A2	12	REC00094	b0094	ftsA	E	E	X	Cell division protein ftsA
A2	13	REC00095	b0095	ftsZ	E	E	X	Cell division protein ftsZ
A2	14	REC00098	b0098	secA	E	E	X	Preprotein translocase secA subunit
A2	15	REC04364	b0168	map	E	E	X	Methionine aminopeptidase (EC 3.4.11.18)
A2	16	REC00169	b0169	rpsB	E	E	X	30S ribosomal protein S2
A2	17	REC00171	b0171	pyrH	E	E	X	Uridylate kinase (EC 2.7.4.-)
A2	18	REC00172	b0172	frr	E	E	X	Ribosome recycling factor
A2	19	REC00174	b0174	uppS	E	E	X	Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)
A2	20	REC00175	b0175	cdsA	E	E	X	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
A2	21	REC00180	b0180	fabZ	E	E	X	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)
A2	22	REC00181	b0181	lpxA	E	E	X	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)
A2	23	REC00182	b0182	lpxB	E	E	X	Lipid-A-disaccharide synthase (EC 2.4.1.182)
